SMILES,Marked Bonds,
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,"[(3, 4), (13, 14)]",
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,"[(3, 4), (13, 14), (14, 2)]",
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,"[(3, 4), (14, 2), (13, 14), (1, 15)]",
C[C@@H](C(N)=S)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,"[(2, 4)]",
C[C@@H](C(N)=S)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,"[(2, 4), (1, 5)]",
CC(C#N)C(O)(Cn1cncn1)c1cc(F)ccc1F,"[(1, 4)]",
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,"[(18, 20)]",
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,"[(18, 20), (13, 15)]",
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,"[(18, 20), (13, 15), (3, 5)]",
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,"[(18, 20), (48, 36), (47, 48), (37, 38), (23, 24)]",
CC(Cl)OC(=O)N(C)c1ncccc1COC(=O)CN(C)C(=O)OC(C)(C)C,"[(4, 6)]",
CC(Cl)OC(=O)N(C)c1ncccc1COC(=O)CN(C)C(=O)OC(C)(C)C,"[(4, 6), (15, 16)]",
CC(C)(C)OC(=O)c1cccnc1Cl,"[(4, 5)]",
