Original_SMILES,New_SMILES,Original_Bonds,New_Bonds,Substitutions
Cl[U],CCl,"[(0, 1)]","[(1, 0)]","('C',)"
Cl[U],CCCl,"[(0, 1)]","[(2, 1)]","('CC',)"
Cl[U],CCCCl,"[(0, 1)]","[(3, 2)]","('CCC',)"
Br[U],CBr,"[(0, 1)]","[(1, 0)]","('C',)"
Br[U],CCBr,"[(0, 1)]","[(2, 1)]","('CC',)"
Br[U],CCCBr,"[(0, 1)]","[(3, 2)]","('CCC',)"
I[U],CI,"[(0, 1)]","[(1, 0)]","('C',)"
I[U],CCI,"[(0, 1)]","[(2, 1)]","('CC',)"
I[U],CCCI,"[(0, 1)]","[(3, 2)]","('CCC',)"
O=C([U])O[U],COC(C)=O,"[(1, 3)]","[(2, 1)]","('C', 'C')"
O=C([U])O[U],CCOC(C)=O,"[(1, 3)]","[(3, 2)]","('C', 'CC')"
O=C([U])O[U],CCCOC(C)=O,"[(1, 3)]","[(4, 3)]","('C', 'CCC')"
O=C([U])O[U],CCC(=O)OC,"[(1, 3)]","[(2, 4)]","('CC', 'C')"
O=C([U])O[U],CCCC(=O)OC,"[(1, 3)]","[(3, 5)]","('CCC', 'C')"
O=C([U])O[U],CCCC(=O)OCC,"[(1, 3)]","[(3, 5)]","('CCC', 'CC')"
O=C([U])O[U],CCCOC(=O)CC,"[(1, 3)]","[(4, 3)]","('CC', 'CCC')"
O=C([U])O[U],COC(C)=O,"[(3, 4)]","[(1, 3)]","('C', 'C')"
O=C([U])O[U],CCOC(C)=O,"[(3, 4)]","[(2, 3)]","('C', 'CC')"
O=C([U])O[U],CCCOC(C)=O,"[(3, 4)]","[(3, 4)]","('C', 'CCC')"
O=C([U])O[U],CCC(=O)OC,"[(3, 4)]","[(4, 2)]","('CC', 'C')"
O=C([U])O[U],CCCC(=O)OC,"[(3, 4)]","[(5, 3)]","('CCC', 'C')"
O=C([U])O[U],CCCC(=O)OCC,"[(3, 4)]","[(5, 3)]","('CCC', 'CC')"
O=C([U])O[U],CCCOC(=O)CC,"[(3, 4)]","[(3, 4)]","('CC', 'CCC')"
[U]S[U],CSC,"[(0, 1), (1, 2)]","[(0, 1), (1, 3)]","('C', 'C')"
[U]S[U],CSC,"[(0, 1)]","[(0, 1)]","('C', 'C')"
[U]S[U],CCSC,"[(0, 1)]","[(1, 2)]","('C', 'CC')"
[U]S[U],CCCSC,"[(0, 1)]","[(2, 3)]","('C', 'CCC')"
[U]S[U],CCCSCC,"[(0, 1)]","[(2, 3)]","('CC', 'CCC')"
[U]CSC[U],CCSCC,"[(1, 2), (2, 3)]","[(3, 2), (2, 1)]","('C', 'C')"
[U]CSC[U],CCCSCC,"[(1, 2), (2, 3)]","[(2, 3), (3, 4)]","('C', 'CC')"
[U]CSC[U],CCCCSCC,"[(1, 2), (2, 3)]","[(3, 4), (4, 5)]","('C', 'CCC')"
[U]CSC[U],CCSCCC,"[(1, 2), (2, 3)]","[(3, 2), (2, 1)]","('CC', 'C')"
[U]CSC[U],CCSCCCC,"[(1, 2), (2, 3)]","[(1, 2), (2, 3)]","('CCC', 'C')"
[U]CSC[U],CCCCSCCC,"[(1, 2), (2, 3)]","[(4, 5), (3, 4)]","('CCC', 'CC')"
[U]CSC[U],CCCSCCCC,"[(1, 2), (2, 3)]","[(2, 3), (4, 3)]","('CC', 'CCC')"
O=C(OCCCCN([U])[U])c1ccc(OC2CCCCC2)cc1,CN(C)CCCCOC(=O)c1ccc(OC2CCCCC2)cc1,"[(1, 2)]","[(8, 7)]","('C', 'C')"
O=C(OCCCCN([U])[U])c1ccc(OC2CCCCC2)cc1,CCN(C)CCCCOC(=O)c1ccc(OC2CCCCC2)cc1,"[(1, 2)]","[(9, 8)]","('C', 'CC')"
O=C(OCCCCN([U])[U])c1ccc(OC2CCCCC2)cc1,CCCN(C)CCCCOC(=O)c1ccc(OC2CCCCC2)cc1,"[(1, 2)]","[(10, 9)]","('C', 'CCC')"
O=C(OCCCCN([U])[U])c1ccc(OC2CCCCC2)cc1,CCN(C)CCCCOC(=O)c1ccc(OC2CCCCC2)cc1,"[(1, 2)]","[(9, 8)]","('CC', 'C')"
O=C(OCCCCN([U])[U])c1ccc(OC2CCCCC2)cc1,CCCN(C)CCCCOC(=O)c1ccc(OC2CCCCC2)cc1,"[(1, 2)]","[(10, 9)]","('CCC', 'C')"
O=C(OCCCCN([U])[U])c1ccc(OC2CCCCC2)cc1,CCCN(CC)CCCCOC(=O)c1ccc(OC2CCCCC2)cc1,"[(1, 2)]","[(11, 10)]","('CCC', 'CC')"
O=C(OCCCCN([U])[U])c1ccc(OC2CCCCC2)cc1,CCCN(CC)CCCCOC(=O)c1ccc(OC2CCCCC2)cc1,"[(1, 2)]","[(11, 10)]","('CC', 'CCC')"
O=C([U])CCI,CC(=O)CCI,"[(4, 5)]","[(4, 5)]","('C',)"
O=C([U])CCI,CCC(=O)CCI,"[(4, 5)]","[(5, 6)]","('CC',)"
O=C([U])CCI,CCCC(=O)CCI,"[(4, 5)]","[(6, 7)]","('CCC',)"
O=C([U])CCBr,CC(=O)CCBr,"[(4, 5)]","[(4, 5)]","('C',)"
O=C([U])CCBr,CCC(=O)CCBr,"[(4, 5)]","[(5, 6)]","('CC',)"
O=C([U])CCBr,CCCC(=O)CCBr,"[(4, 5)]","[(6, 7)]","('CCC',)"
O=C([U])CCCl,CC(=O)CCCl,"[(4, 5)]","[(4, 5)]","('C',)"
O=C([U])CCCl,CCC(=O)CCCl,"[(4, 5)]","[(5, 6)]","('CC',)"
O=C([U])CCCl,CCCC(=O)CCCl,"[(4, 5)]","[(6, 7)]","('CCC',)"
CC(Cl)CC(=O)O[U],COC(=O)CC(C)Cl,"[(1, 2)]","[(5, 7)]","('C',)"
CC(Cl)CC(=O)O[U],CCOC(=O)CC(C)Cl,"[(1, 2)]","[(6, 8)]","('CC',)"
CC(Cl)CC(=O)O[U],CCCOC(=O)CC(C)Cl,"[(1, 2)]","[(7, 9)]","('CCC',)"
OCC(I)[U],CC(I)CO,"[(2, 3)]","[(1, 2)]","('C',)"
OCC(I)[U],CCC(I)CO,"[(2, 3)]","[(2, 3)]","('CC',)"
OCC(I)[U],CCCC(I)CO,"[(2, 3)]","[(3, 4)]","('CCC',)"
OCC(Br)[U],CC(Br)CO,"[(2, 3)]","[(1, 2)]","('C',)"
OCC(Br)[U],CCC(Br)CO,"[(2, 3)]","[(2, 3)]","('CC',)"
OCC(Br)[U],CCCC(Br)CO,"[(2, 3)]","[(3, 4)]","('CCC',)"
OCC(Cl)[U],CC(Cl)CO,"[(2, 3)]","[(1, 2)]","('C',)"
OCC(Cl)[U],CCC(Cl)CO,"[(2, 3)]","[(2, 3)]","('CC',)"
OCC(Cl)[U],CCCC(Cl)CO,"[(2, 3)]","[(3, 4)]","('CCC',)"
O=C([U])CCl,CC(=O)CCl,"[(3, 4)]","[(3, 4)]","('C',)"
O=C([U])CCl,CCC(=O)CCl,"[(3, 4)]","[(4, 5)]","('CC',)"
O=C([U])CCl,CCCC(=O)CCl,"[(3, 4)]","[(5, 6)]","('CCC',)"
O=C([U])CBr,CC(=O)CBr,"[(3, 4)]","[(3, 4)]","('C',)"
O=C([U])CBr,CCC(=O)CBr,"[(3, 4)]","[(4, 5)]","('CC',)"
O=C([U])CBr,CCCC(=O)CBr,"[(3, 4)]","[(5, 6)]","('CCC',)"
O=C([U])CBr,CC(=O)CBr,"[(3, 4)]","[(3, 4)]","('C',)"
O=C([U])CBr,CCC(=O)CBr,"[(3, 4)]","[(4, 5)]","('CC',)"
O=C([U])CBr,CCCC(=O)CBr,"[(3, 4)]","[(5, 6)]","('CCC',)"
O=C([U])CI,CC(=O)CI,"[(3, 4)]","[(3, 4)]","('C',)"
O=C([U])CI,CCC(=O)CI,"[(3, 4)]","[(4, 5)]","('CC',)"
O=C([U])CI,CCCC(=O)CI,"[(3, 4)]","[(5, 6)]","('CCC',)"
O=C([U])OCC(=O)c1ccc(Br)cc1,CC(=O)OCC(=O)c1ccc(Br)cc1,"[(3, 4)]","[(3, 4)]","('C',)"
O=C([U])OCC(=O)c1ccc(Br)cc1,CCC(=O)OCC(=O)c1ccc(Br)cc1,"[(3, 4)]","[(4, 5)]","('CC',)"
O=C([U])OCC(=O)c1ccc(Br)cc1,CCCC(=O)OCC(=O)c1ccc(Br)cc1,"[(3, 4)]","[(5, 6)]","('CCC',)"
COC([U])OC,COC(C)OC,"[(2, 4), (1, 2)]","[(2, 4), (1, 2)]","('C',)"
COC([U])OC,CCC(OC)OC,"[(2, 4), (1, 2)]","[(2, 5), (3, 2)]","('CC',)"
COC([U])OC,CCCC(OC)OC,"[(2, 4), (1, 2)]","[(3, 6), (4, 3)]","('CCC',)"
OC(Cl)([U])[U],CC(C)(O)Cl,"[(1, 2)]","[(1, 4)]","('C', 'C')"
OC(Cl)([U])[U],CCC(C)(O)Cl,"[(1, 2)]","[(2, 5)]","('C', 'CC')"
OC(Cl)([U])[U],CCCC(C)(O)Cl,"[(1, 2)]","[(3, 6)]","('C', 'CCC')"
OC(Cl)([U])[U],CCC(C)(O)Cl,"[(1, 2)]","[(2, 5)]","('CC', 'C')"
OC(Cl)([U])[U],CCCC(C)(O)Cl,"[(1, 2)]","[(3, 6)]","('CCC', 'C')"
OC(Cl)([U])[U],CCCC(O)(Cl)CC,"[(1, 2)]","[(3, 5)]","('CCC', 'CC')"
OC(Cl)([U])[U],CCCC(O)(Cl)CC,"[(1, 2)]","[(3, 5)]","('CC', 'CCC')"
OC(Br)([U])[U],CC(C)(O)Br,"[(1, 2)]","[(1, 4)]","('C', 'C')"
OC(Br)([U])[U],CCC(C)(O)Br,"[(1, 2)]","[(2, 5)]","('C', 'CC')"
OC(Br)([U])[U],CCCC(C)(O)Br,"[(1, 2)]","[(3, 6)]","('C', 'CCC')"
OC(Br)([U])[U],CCC(C)(O)Br,"[(1, 2)]","[(2, 5)]","('CC', 'C')"
OC(Br)([U])[U],CCCC(C)(O)Br,"[(1, 2)]","[(3, 6)]","('CCC', 'C')"
OC(Br)([U])[U],CCCC(O)(Br)CC,"[(1, 2)]","[(3, 5)]","('CCC', 'CC')"
OC(Br)([U])[U],CCCC(O)(Br)CC,"[(1, 2)]","[(3, 5)]","('CC', 'CCC')"
OC(I)([U])[U],CC(C)(O)I,"[(1, 2)]","[(1, 4)]","('C', 'C')"
OC(I)([U])[U],CCC(C)(O)I,"[(1, 2)]","[(2, 5)]","('C', 'CC')"
OC(I)([U])[U],CCCC(C)(O)I,"[(1, 2)]","[(3, 6)]","('C', 'CCC')"
OC(I)([U])[U],CCC(C)(O)I,"[(1, 2)]","[(2, 5)]","('CC', 'C')"
OC(I)([U])[U],CCCC(C)(O)I,"[(1, 2)]","[(3, 6)]","('CCC', 'C')"
OC(I)([U])[U],CCCC(O)(I)CC,"[(1, 2)]","[(3, 5)]","('CCC', 'CC')"
OC(I)([U])[U],CCCC(O)(I)CC,"[(1, 2)]","[(3, 5)]","('CC', 'CCC')"
O=C(I)[U],CC(=O)I,"[(1, 2)]","[(1, 3)]","('C',)"
O=C(I)[U],CCC(=O)I,"[(1, 2)]","[(2, 4)]","('CC',)"
O=C(I)[U],CCCC(=O)I,"[(1, 2)]","[(3, 5)]","('CCC',)"
[U]C1CO1,CC1CO1,"[(2, 3), (3, 1)]","[(2, 3), (3, 1)]","('C',)"
[U]C1CO1,CCC1CO1,"[(2, 3), (3, 1)]","[(3, 4), (4, 2)]","('CC',)"
[U]C1CO1,CCCC1CO1,"[(2, 3), (3, 1)]","[(4, 5), (5, 3)]","('CCC',)"
OCCN([U])CCO,CN(CCO)CCO,"[(2, 3), (3, 5)]","[(2, 1), (1, 5)]","('C',)"
OCCN([U])CCO,CCN(CCO)CCO,"[(2, 3), (3, 5)]","[(3, 2), (2, 6)]","('CC',)"
OCCN([U])CCO,CCCN(CCO)CCO,"[(2, 3), (3, 5)]","[(4, 3), (3, 7)]","('CCC',)"
CN[U],CNC,"[(0, 1)]","[(0, 1)]","('C',)"
CN[U],CCNC,"[(0, 1)]","[(3, 2)]","('CC',)"
CN[U],CCCNC,"[(0, 1)]","[(4, 3)]","('CCC',)"
NC[U],CCN,"[(0, 1)]","[(2, 1)]","('C',)"
NC[U],CCCN,"[(0, 1)]","[(3, 2)]","('CC',)"
NC[U],CCCCN,"[(0, 1)]","[(4, 3)]","('CCC',)"
N#CC[U],CCC#N,"[(1, 2)]","[(2, 1)]","('C',)"
N#CC[U],CCCC#N,"[(1, 2)]","[(3, 2)]","('CC',)"
N#CC[U],CCCCC#N,"[(1, 2)]","[(4, 3)]","('CCC',)"
OC([U])[U],CC(C)O,"[(1, 2)]","[(0, 1)]","('C', 'C')"
OC([U])[U],CCC(C)O,"[(1, 2)]","[(3, 2)]","('C', 'CC')"
OC([U])[U],CCCC(C)O,"[(1, 2)]","[(4, 3)]","('C', 'CCC')"
OC([U])[U],CCCC(O)CC,"[(1, 2)]","[(3, 5)]","('CC', 'CCC')"
OCC[U],CCCO,"[(2, 3)]","[(0, 1)]","('C',)"
OCC[U],CCCCO,"[(2, 3)]","[(2, 1)]","('CC',)"
OCC[U],CCCCCO,"[(2, 3)]","[(3, 2)]","('CCC',)"
O=C([U])C[U],CCC(C)=O,"[(3, 4)]","[(0, 1)]","('C', 'C')"
O=C([U])C[U],CCCC(C)=O,"[(3, 4)]","[(2, 1)]","('C', 'CC')"
O=C([U])C[U],CCCCC(C)=O,"[(3, 4)]","[(2, 3)]","('C', 'CCC')"
O=C([U])C[U],CCC(=O)CC,"[(3, 4)]","[(1, 0)]","('CC', 'C')"
O=C([U])C[U],CCCC(=O)CC,"[(3, 4)]","[(2, 1)]","('CCC', 'C')"
O=C([U])C[U],CCCC(=O)CCC,"[(3, 4)]","[(2, 1)]","('CCC', 'CC')"
O=C([U])C[U],CCCCC(=O)CC,"[(3, 4)]","[(3, 2)]","('CC', 'CCC')"
CC(=O)CC[U],CCCC(C)=O,"[(4, 5)]","[(0, 1)]","('C',)"
CC(=O)CC[U],CCCCC(C)=O,"[(4, 5)]","[(2, 1)]","('CC',)"
CC(=O)CC[U],CCCCCC(C)=O,"[(4, 5)]","[(3, 2)]","('CCC',)"
OC([U])C1CCCCC1,CC(O)C1CCCCC1,"[(1, 2)]","[(1, 0)]","('C',)"
OC([U])C1CCCCC1,CCC(O)C1CCCCC1,"[(1, 2)]","[(2, 1)]","('CC',)"
OC([U])C1CCCCC1,CCCC(O)C1CCCCC1,"[(1, 2)]","[(3, 2)]","('CCC',)"
O=C(O)[U],CC(=O)O,"[(1, 3)]","[(1, 0)]","('C',)"
O=C(O)[U],CCC(=O)O,"[(1, 3)]","[(2, 0)]","('CC',)"
O=C(O)[U],CCCC(=O)O,"[(1, 3)]","[(3, 0)]","('CCC',)"
N#C[U],CC#N,"[(1, 2)]","[(1, 0)]","('C',)"
N#C[U],CCC#N,"[(1, 2)]","[(2, 1)]","('CC',)"
N#C[U],CCCC#N,"[(1, 2)]","[(3, 2)]","('CCC',)"
O=[N+]([O-])C[U],CC[N+](=O)[O-],"[(3, 4)]","[(1, 0)]","('C',)"
O=[N+]([O-])C[U],CCC[N+](=O)[O-],"[(3, 4)]","[(2, 1)]","('CC',)"
O=[N+]([O-])C[U],CCCC[N+](=O)[O-],"[(3, 4)]","[(3, 2)]","('CCC',)"
[U]C=CC=C[U],CC=CC=CC,"[(2, 3)]","[(2, 3)]","('C', 'C')"
[U]C=CC=C[U],CC=CC=CCC,"[(2, 3)]","[(2, 3)]","('C', 'CC')"
[U]C=CC=C[U],CC=CC=CCCC,"[(2, 3)]","[(2, 3)]","('C', 'CCC')"
O=C([U])[U],CC(C)=O,"[(1, 2)]","[(0, 1)]","('C', 'C')"
O=C([U])[U],CCC(C)=O,"[(1, 2)]","[(2, 1)]","('C', 'CC')"
O=C([U])[U],CCCC(C)=O,"[(1, 2)]","[(3, 1)]","('C', 'CCC')"
O=C([U])[U],CCCC(=O)CC,"[(1, 2)]","[(3, 1)]","('CC', 'CCC')"
O=C([U])CC[U],CCCC(C)=O,"[(4, 5)]","[(0, 1)]","('C', 'C')"
O=C([U])CC[U],CCCCC(C)=O,"[(4, 5)]","[(1, 2)]","('C', 'CC')"
O=C([U])CC[U],CCCCCC(C)=O,"[(4, 5)]","[(2, 3)]","('C', 'CCC')"
O=C([U])CC[U],CCCC(=O)CC,"[(4, 5)]","[(0, 1)]","('CC', 'C')"
O=C([U])CC[U],CCCC(=O)CCC,"[(4, 5)]","[(0, 1)]","('CCC', 'C')"
O=C([U])CC[U],CCCCC(=O)CCC,"[(4, 5)]","[(2, 1)]","('CCC', 'CC')"
O=C([U])CC[U],CCCCCC(=O)CC,"[(4, 5)]","[(3, 2)]","('CC', 'CCC')"
OC(C[U])(c1ccccc1)c1ccccc1,CCC(O)(c1ccccc1)c1ccccc1,"[(1, 4), (1, 10)]","[(2, 10), (2, 4)]","('C',)"
OC(C[U])(c1ccccc1)c1ccccc1,CCCC(O)(c1ccccc1)c1ccccc1,"[(1, 4), (1, 10)]","[(3, 5), (3, 11)]","('CC',)"
OC(C[U])(c1ccccc1)c1ccccc1,CCCCC(O)(c1ccccc1)c1ccccc1,"[(1, 4), (1, 10)]","[(4, 6), (4, 12)]","('CCC',)"
COC(=O)CCC1OC1C=C[U],CC=CC1OC1CCC(=O)OC,"[(9, 10)]","[(2, 0)]","('C',)"
COC(=O)CCC1OC1C=C[U],CCC=CC1OC1CCC(=O)OC,"[(9, 10)]","[(3, 2)]","('CC',)"
COC(=O)CCC1OC1C=C[U],CCCC=CC1OC1CCC(=O)OC,"[(9, 10)]","[(4, 3)]","('CCC',)"
CC(C)CCCCC=CC[U],CCC=CCCCCC(C)C,"[(7, 8)]","[(2, 3)]","('C',)"
CC(C)CCCCC=CC[U],CCCC=CCCCCC(C)C,"[(7, 8)]","[(4, 3)]","('CC',)"
CC(C)CCCCC=CC[U],CCCCC=CCCCCC(C)C,"[(7, 8)]","[(5, 4)]","('CCC',)"
[U]C=CC=C[U],CC=CC=CC,"[(3, 4)]","[(3, 4)]","('C', 'C')"
[U]C=CC=C[U],CC=CC=CCC,"[(3, 4)]","[(3, 4)]","('C', 'CC')"
[U]C=CC=C[U],CC=CC=CCCC,"[(3, 4)]","[(3, 4)]","('C', 'CCC')"
CC(=O)[U],CC(C)=O,"[(1, 3)]","[(1, 2)]","('C',)"
CC(=O)[U],CCC(C)=O,"[(1, 3)]","[(2, 3)]","('CC',)"
CC(=O)[U],CCCC(C)=O,"[(1, 3)]","[(3, 4)]","('CCC',)"
O=C([U])CC(O)[U],CC(=O)CC(C)O,"[(3, 4)]","[(3, 4)]","('C', 'C')"
O=C([U])CC(O)[U],CCC(O)CC(C)=O,"[(3, 4)]","[(2, 4)]","('C', 'CC')"
O=C([U])CC(O)[U],CCCC(O)CC(C)=O,"[(3, 4)]","[(3, 5)]","('C', 'CCC')"
O=C([U])CC(O)[U],CCC(=O)CC(C)O,"[(3, 4)]","[(4, 5)]","('CC', 'C')"
O=C([U])CC(O)[U],CCCC(=O)CC(C)O,"[(3, 4)]","[(5, 6)]","('CCC', 'C')"
O=C([U])CC(O)[U],CCCC(=O)CC(O)CC,"[(3, 4)]","[(5, 6)]","('CCC', 'CC')"
O=C([U])CC(O)[U],CCCC(O)CC(=O)CC,"[(3, 4)]","[(3, 5)]","('CC', 'CCC')"
O=C([U])CCCC(=O)[U],CC(=O)CCCC(C)=O,"[(3, 4)]","[(5, 4)]","('C', 'C')"
O=C([U])CCCC(=O)[U],CCC(=O)CCCC(C)=O,"[(3, 4)]","[(6, 5)]","('C', 'CC')"
O=C([U])CCCC(=O)[U],CCCC(=O)CCCC(C)=O,"[(3, 4)]","[(7, 6)]","('C', 'CCC')"
O=C([U])CCCC(=O)[U],CCCC(=O)CCCC(=O)CC,"[(3, 4)]","[(5, 6)]","('CC', 'CCC')"
O=C([U])CC(=O)[U],CC(=O)CC(C)=O,"[(3, 4)]","[(3, 4)]","('C', 'C')"
O=C([U])CC(=O)[U],CCC(=O)CC(C)=O,"[(3, 4)]","[(4, 5)]","('C', 'CC')"
O=C([U])CC(=O)[U],CCCC(=O)CC(C)=O,"[(3, 4)]","[(7, 6)]","('C', 'CCC')"
O=C([U])CC(=O)[U],CCCC(=O)CC(=O)CC,"[(3, 4)]","[(6, 7)]","('CC', 'CCC')"
O=C([U])CC(O)[U],CC(=O)CC(C)O,"[(3, 4)]","[(0, 5)]","('C', 'C')"
O=C([U])CC(O)[U],CCC(O)CC(C)=O,"[(3, 4)]","[(2, 4)]","('C', 'CC')"
O=C([U])CC(O)[U],CCCC(O)CC(C)=O,"[(3, 4)]","[(3, 5)]","('C', 'CCC')"
O=C([U])CC(O)[U],CCC(=O)CC(C)O,"[(3, 4)]","[(5, 4)]","('CC', 'C')"
O=C([U])CC(O)[U],CCCC(=O)CC(C)O,"[(3, 4)]","[(6, 5)]","('CCC', 'C')"
O=C([U])CC(O)[U],CCCC(=O)CC(O)CC,"[(3, 4)]","[(5, 6)]","('CCC', 'CC')"
O=C([U])CC(O)[U],CCCC(O)CC(=O)CC,"[(3, 4)]","[(3, 5)]","('CC', 'CCC')"
O=C([U])C=C[U],CC=CC(C)=O,"[(3, 4)]","[(2, 1)]","('C', 'C')"
O=C([U])C=C[U],CCC=CC(C)=O,"[(3, 4)]","[(3, 2)]","('C', 'CC')"
O=C([U])C=C[U],CCCC=CC(C)=O,"[(3, 4)]","[(4, 3)]","('C', 'CCC')"
O=C([U])C=C[U],CC=CC(=O)CC,"[(3, 4)]","[(1, 2)]","('CC', 'C')"
O=C([U])C=C[U],CC=CC(=O)CCC,"[(3, 4)]","[(2, 1)]","('CCC', 'C')"
O=C([U])C=C[U],CCC=CC(=O)CCC,"[(3, 4)]","[(2, 3)]","('CCC', 'CC')"
