Original_SMILES,New_SMILES,Original_Bonds,New_Bonds,Substitutions
CC12C=C([U])C3C(C([U])=C1)C32C,CC1=CC2(C)C=C(C)C3C1C32C,"[(2, 3), (3, 5), (6, 7), (7, 9)]","[(5, 6), (6, 8), (9, 1), (1, 2)]","('C', 'C')"
CC12C=C([U])C3C(C([U])=C1)C32C,CCC1=CC2(C)C=C(C)C3C1C32C,"[(2, 3), (3, 5), (6, 7), (7, 9)]","[(6, 7), (7, 9), (10, 2), (2, 3)]","('C', 'CC')"
CC12C=C([U])C3C(C([U])=C1)C32C,CCCC1=CC2(C)C=C(C)C3C1C32C,"[(2, 3), (3, 5), (6, 7), (7, 9)]","[(7, 8), (8, 10), (11, 3), (3, 4)]","('C', 'CCC')"
CC12C=C([U])C3C(C([U])=C1)C32C,CCC1=CC2(C)C=C(C)C3C1C32C,"[(2, 3), (3, 5), (6, 7), (7, 9)]","[(6, 7), (7, 9), (10, 2), (2, 3)]","('CC', 'C')"
CC12C=C([U])C3C(C([U])=C1)C32C,CCCC1=CC2(C)C=C(C)C3C1C32C,"[(2, 3), (3, 5), (6, 7), (7, 9)]","[(7, 8), (8, 10), (11, 3), (3, 4)]","('CCC', 'C')"
CC12C=C([U])C3C(C([U])=C1)C32C,CCCC1=CC2(C)C=C(CC)C3C1C32C,"[(2, 3), (3, 5), (6, 7), (7, 9)]","[(7, 8), (8, 11), (12, 3), (3, 4)]","('CCC', 'CC')"
CC12C=C([U])C3C(C([U])=C1)C32C,CCCC1=CC2(C)C=C(CC)C3C1C32C,"[(2, 3), (3, 5), (6, 7), (7, 9)]","[(7, 8), (8, 11), (12, 3), (3, 4)]","('CC', 'CCC')"
O=C1C(c2ccccc2)C([U])N1[Ac],CC1C(c2ccccc2)C(=O)N1[Ac],"[(11, 1), (2, 9)]","[(11, 9), (2, 1)]","('C',)"
O=C1C(c2ccccc2)C([U])N1[Ac],CCC1C(c2ccccc2)C(=O)N1[Ac],"[(11, 1), (2, 9)]","[(12, 10), (3, 2)]","('CC',)"
O=C1C(c2ccccc2)C([U])N1[Ac],CCCC1C(c2ccccc2)C(=O)N1[Ac],"[(11, 1), (2, 9)]","[(13, 11), (4, 3)]","('CCC',)"
O=C([U])c1c(-c2ccccc2)ccc2ccccc12,CC(=O)c1c(-c2ccccc2)ccc2ccccc12,"[(3, 4), (11, 12)]","[(3, 4), (11, 12)]","('C',)"
O=C([U])c1c(-c2ccccc2)ccc2ccccc12,CCC(=O)c1c(-c2ccccc2)ccc2ccccc12,"[(3, 4), (11, 12)]","[(4, 5), (12, 13)]","('CC',)"
O=C([U])c1c(-c2ccccc2)ccc2ccccc12,CCCC(=O)c1c(-c2ccccc2)ccc2ccccc12,"[(3, 4), (11, 12)]","[(5, 6), (13, 14)]","('CCC',)"
CC12CCC(=O)c3cccc(c31)CC([U])C2[U],CC1Cc2cccc3c2C(C)(CCC3=O)C1C,"[(6, 7), (9, 10)]","[(7, 6), (4, 3)]","('C', 'C')"
CC12CCC(=O)c3cccc(c31)CC([U])C2[U],CCC1C(C)Cc2cccc3c2C1(C)CCC3=O,"[(6, 7), (9, 10)]","[(10, 9), (7, 6)]","('C', 'CC')"
