SMILES,Marked Bonds
CC12C=C([U])C3C(C([U])=C1)C32C,"[(2, 3), (3, 5), (6, 7), (7, 9)]"
O=C1CCCCC2OC12,"[(8, 1), (8, 6), (7, 8), (6, 7)]"
O=C(O)C=C1CCCCC1=O,"[(3, 4)]"
O=C1C(c2ccccc2)C([U])N1[Ac],"[(11, 1), (2, 9)]"
CC1C(=O)CCCC1O,"[(0, 1)]"
N#CC1C=CCCC1,"[(1, 2)]"
,[]
O=c1c(O)cccc2cc(O)c(O)c(O)c12,"[(15, 1), (6, 7)]"
O=C([U])c1c(-c2ccccc2)ccc2ccccc12,"[(3, 4), (11, 12)]"
CC12CCC(=O)c3cccc(c31)CC([U])C2[U],"[(6, 7), (9, 10)]"
CC12CCC(=O)c3cccc(c31)CC([U])C2[U],"[(6, 7), (9, 10)]"
CC(C)C1=C2C3C(CCC2(C)CC1)C(=O)CC(O[Si](C)(C)[U])=CC3[Si](C)(C)C,"[(15, 16), (23, 5)]"
COc1cc2c3c(c1OC)-c1ccc(=O)ccc1C3=NCC2,"[(12, 13), (14, 15), (21, 14)]"
C=CC([U])C(C=O)c1ccccc1,"[(2, 4)]"
[U]C=C[U],"[(1, 2)]"
CC(C)(C)OC(=O)NC([Ac])C(=O)[Ac],"[(8, 10)]"
CC(C)C1CCC(=O)C1(C)C[U],"[(8, 9), (6, 8)]"
C=C1CCC(CCO[U])C2(O)C=C(C)CCC12,"[(2, 3)]"
CC1CC2C(C3CC(=O)CC4CCCC4=C13)C2(C)C,"[(5, 6)]"
C=C1CCC2CC1C(Cc1c[nH]c3ccccc13)NC2(C)C,"[(6, 7), (18, 19)]"
CC(=O)OC1C=CCCC1C=O,"[(9, 4), (7, 8)]"
CCC(O)c1ccccc1,"[(1, 2)]"
COC(=O)CC=CC(C)C([U])OC,"[(7, 9)]"
COC(=O)C1C=CC(C)C([U])O1,"[(7, 9)]"
COC(CC=CCC(=O)N([U])[U])c1ccccc1,"[(5, 6), (2, 3), (7, 9)]"

COC(CC=CCC(=O)N([U])[U])c1ccccc1,"[(5, 6), (2, 3), (7, 9)]"
C1=CC2NCCC2(c2ccccc2)CC1,"[(8, 9)]"
CCCCC1(C=O)CCC2(CCC(C)C([U])O2)O1,"[(9, 17)]"
[U]C1OC1([U])[U],"[(1, 2), (2, 3)]"
[U]C1OC1([U])[U],"[(1, 2), (2, 3)]"
[U]C1OC1([U])[U],"[(1, 2), (2, 3)]"
C=C(C)c1c(C)c(C)cc(C)c1C,[]
O=C([U])c1c(O)c([U])nc([U])c1[U],"[(4, 6), (11, 3)]"
[U]C=C[U],"[(1, 2)]"
C=CCCC(CC(C)=O)C(C)C1OC(OC(C)=O)(O[Si](C)(C)C(C)(C)C)C=CC1=O,"[(12, 13)]"
CC(=O)OC1CCC2CC3(CO[Si](C)(C)C(C)(C)C)C=CC(=O)C2(O3)C1C,"[(23, 7), (8, 9)]"
CC1CC2C(O)(CC3(CO)CC4CCC(O[U])C(C)C42O3)C1=Cc1ccccc1,"[(21, 1)]"
COC(=O)C1C(CC=O)=C(C)C=CC1C(C)C,"[(2, 4), (5, 6)]"

CC1=CCC(C(C)C)C2CC(=O)c3ccc(o3)C(O[Si]([U])([U])[U])CC12,"[(10, 12)]"
CC1=CCC(C(C)C)C(C[U])C1CC(O[Si]([U])([U])[U])c1ccc(Br)o1,"[(13, 19)]"
COC(=O)C12CC(=O)c3ccccc3C13c1cc(OC)c(OC)cc1CCN3C(=O)C2,"[(14, 15), (14, 4), (5, 6)]"
CC1C(=O)CC2CC(=O)C34C=COC3CCC214,"[(7, 9), (16, 9), (13, 14)]"
