SMILES,ID
COC(=O)[C@H](CCCCN)NC(=O)Nc1cc(OC)cc(C(C)(C)C)c1O,9bb350de65
O=C(Nc1cccc2cnccc12)c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1,7e88ac13b7
CCN(CC)Cc1ccc(-c2nc(C)c(COc3ccc([C@H](CC(=O)N4C(=O)OC[C@@H]4Cc4ccccc4)c4ccon4)cc3)s2)cc1,fbdc06244b
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(C(CF)CF)C5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,e6670c48cd
CCOc1ccc(Oc2ncnc3c2cnn3C2CCN(C(=O)OC3CCCC3)CC2)c(F)c1,0ff24b6a35
Cn1cnc(-c2cc(C#N)ccn2)c1-c1ccc(-n2cccn2)cc1,cf3700fe3d
N#Cc1ccc(OC2CCCCO2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)c1,f0110577b0
COc1ccc(C(O)Cc2c(Cl)c[n+]([O-])cc2Cl)c2c1OC1(CCCC1)O2,e9c81f2783
CC(C)(C)OC(=O)NNC(=O)c1ccc(Br)cc1Cl,5af0bb2131
CCOP(=O)(COCc1nc2c(N)ncnc2n1CCc1ccccc1)OCC,c318fb876e
O=C(O)CONC(=O)NCc1cccc2ccccc12,4f91ce6f74
CCOC(=O)c1nn[nH]c1C(=O)c1ccc(OC)c(OC)c1,32db7fefe0
COC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(C)C,deee579b9c
c1ccc(CN2CCC(NCc3c[nH]cn3)CC2)cc1,c56cf7e0c3
Oc1ccc(OCc2ccccc2)c(Br)c1,5bec3251a0
CC(C)n1nc(-c2ccc(O)cc2)c2cccc(Cl)c21,932dba6a65
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2Cc3ccccc3Sc3ncccc32)cc1,3e61d7087c
FC(F)(F)c1ccc(N2CCOc3ccccc32)c(Br)c1,b2a6274877
CC(C)Sc1ncccc1F,f760834337
COC(=O)C(C)(C)CN1CCN(C2=Nc3ccc(Cl)cc3Cn3cc(C)cc32)CC1,faee9739e3
CCN(c1nc(F)ccc1NC(C)C)C1CCNCC1,8f41b94bb2
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC4CCCC4)nc23)N1,ce8f7577ec
COC(Oc1cc(Cl)cc(Cl)c1)C(=O)OC(C)(C)C,a9ec1283e3
NCc1cccc([N+](=O)[O-])c1,7f94af56d0
C#Cc1coc2ccc(C(=O)N[C@H]3CN4CCC3CC4)cc12,44144b2ae7
CC(=O)OC(COCCOS(C)(=O)=O)c1cccc(Cl)c1,54cbef8099
O=C(NCc1ccco1)N1CCC(CCOc2ccc3cc2CCc2cncc(c2)Nc2ncc(Cl)c(n2)N3)CC1,1fc077ed73
O=C1CN(c2ccncc2)CCN1c1ccc(OCc2ccccc2)cc1,a68b11f56f
CCC(NCCCNC(=O)OC(C)(C)C)c1nn2cccc2c(=O)n1Cc1ccccc1,2f9550f2a6
CC(=O)c1ccccc1Oc1cnn(C(CC2CCCC2)C(=O)O)c(=O)c1,3ffa7acad2
O=C(Nc1ccc(Cl)c(-c2ccccn2)c1)c1ccc(-n2cncn2)nc1,514197d029
C=C1C(=C)C2OC1C1=C2CC(C(C)=O)CC1,5f46f1e46c
CCOC(=O)C=CCc1ccc(Br)cc1,d7fb5b3ada
CC(C)(C)OC(=O)N1CCN(c2nc(-c3ccnc(NC4CCOCC4)c3)cc3cnccc23)CC1,ca33c6272d
CN1Cc2cc(Cl)ccc2-n2c(Br)nnc2C1,d5ab715107
CN(C)C(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1,81c1c814d1
CCOC(=O)Cc1ccc(OC)c(Oc2ccc([N+](=O)[O-])cc2CSCC(F)(F)F)c1,53c9eb6e33
CC(C)(C)OC(=O)NCC1CCN(S(=O)(=O)c2cccc3cncc(Cl)c23)CC1,b79a3cb6c8
CCOC(=O)c1ccc(N[C@@H]2CC[C@@H](O)CC2)c([N+](=O)[O-])c1,37d3a6a6f4
COc1cc(C(F)(F)F)cc(C(F)(F)F)c1C(=O)N[C@@H]1CCCC[C@@H]1NC1CCN(C(C)=O)CC1,e2cccbf547
CCCCCc1nc2c(N)nc3ccccc3c2n1CCCCNS(=O)(=O)c1ccccc1,fc8c815319
CC(C)Cn1c(=O)n(C)c(=O)c2c(-c3cc(C(=O)NCCNC(C)C)cn3C)n(Cc3c[nH]c4ccc(Cl)cc34)nc21,2a48abf03d
O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CCCN1CCN(c2ccccc2)CC1,baefb5faf0
CC(=O)Oc1ccccc1C,b66a5053cf
COC(=O)c1ccc2c(c1)[C@@H](N(C)C(=O)OC(C)(C)C)CC[C@H]2c1ccc(Cl)c(Cl)c1,243caaf290
COCOc1ccc(C2(C)COc3cc(OCOC)ccc3C2CCCCCCCCOS(=O)(=O)c2ccc(C)cc2)cc1,0876419308
Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)c1cccc(C(=O)N(C)C)c1,62d9ba44cb
FC(F)(F)c1cc(-c2c[nH]cn2)cc(C(F)(F)F)c1,01c05e5b9a
N#CC1CCN(C(=O)OCc2ccccc2)CC1,276b1b5de2
CCSc1nc(N2CCOC[C@@H]2CO)cc(C)c1C(=O)NCc1cccc(F)c1,b92d32af2b
CC1(C)[C@@]2(C)CC[C@]1(C(=O)Nc1ccc(Cl)cc1[C@@](O)(C#CC1CC1)C(F)(F)F)OC2=O,cec111c9bc
Cc1ccc(C(C)(C)C)cc1N,977eb049ce
CNc1cccc(NC(=O)NC(=O)c2ccccc2)c1C#N,99dceaaf68
CC1=C(C#N)C(c2ccc3c(c2)c(NS(=O)(=O)Cc2ccc(F)cc2)nn3C(=O)OC(C)(C)C)C(C#N)=C(C)N1,34662baf9a
O=C(Cc1cc(F)cc(F)c1)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H]1C(=O)Nc2ccccc2S[C@@H]1c1ccccc1,b4ee5e6373
CCNC(=O)c1c(OCc2ccccc2)c(OCc2ccccc2)c(C(=O)N(C)C)n1-c1ccc(OC)cc1,a03f10a7db
CN(Cc1ccccc1)c1nc2oc3c(NCCN4CCOCC4)ncnc3c2c2c1COC(C)(C)C2,8a796d6970
c1ccc(COc2ccc(-c3nccc(NC4CCCC4)n3)cc2)cc1,379288213d
C#CCNC(=O)c1cccc(F)c1Nc1nc(Nc2ccc3c(c2)OCC(O)(CO)CN3CC)ncc1Cl,eba327758a
O=C(NCCC1CC1)c1ccc(N2CC3=C(CN(C(=O)c4ccccc4C(F)(F)F)C3)C2)nc1,5d36536bf5
CC(C)(C)c1noc(N2CCC(N(C(=O)c3cc(-c4ccc(C#N)cc4F)no3)C3CC3)CC2)n1,13a19438f1
O=C(O)c1ccc(CBr)c(F)c1,e433b56779
Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)CC(=O)O,42e5a9dd30
COc1ccc(C2=CCC3(CC2)OCCO3)cc1,f2eaa24047
CNC(=O)N1C[C@@H](c2ccccc2)N(C2CCN(C(=O)OC(C)(C)C)CC2)C1=O,aca568a514
O=[N+]([O-])c1cc(Br)ccc1NCC1(O)CCCC1,01ff00423f
C=CC(=O)OCC(Cl)(Cl)Cl,18b4c22e81
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,97294e8c8f
Cc1nc2c(nc1Nc1cnn(C)c1)c(C(=O)NC(C)(C)C)cn2COCC[Si](C)(C)C,f7eb935551
C[C@@H](Nc1ncccc1I)C1CCOCC1,461a22e04f
CC(C)(C)OC(=O)NC1(c2ccc(-c3c(-c4ccc(C(=O)OCc5ccccc5)cc4)nc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1,72e8252057
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1C(=O)CCC2,661583524b
NC(=O)c1ncc(-c2cccc(-c3ccccc3C(F)(F)F)c2)[nH]1,fe1f16e36c
c1ccc(C2CCC3(CC2)OCCO3)nc1,4c2b7cd21f
C[C@H]1CNCCN1C1CCc2ccc(C(F)(F)F)cc21,dbcc7a325e
COC(=O)c1cc(C(F)(F)F)nn1CCBr,558e54c8e0
CC(NC(c1ccc(F)cc1)c1cccc(N)c1)c1ccc(F)c(F)c1,893ffead87
COc1nc(Cl)cnc1NS(=O)(=O)c1ccc(Br)s1,b1c4e9dbc6
CCC(=O)COc1cc(N)c(Cl)cc1C(=O)NCCN(CC)CC,3778e7609d
O=C(Cc1cnccn1)N[C@@H](COCc1ccccc1)C(=O)Nc1ccc(Oc2ccc(F)cc2)cc1,dd66ce4cba
CCNC(=S)NCc1ccccc1,e18c00d253
CCOCCOCCC(=O)Nc1ccc2c(c1)C(C)(c1ccccc1)CC(C)(C)N2C(C)=O,677a1bb054
NC(CO)c1cccc(NC2CCCCC2)c1,4faf6f0ae6
CNc1ccc(OC)cc1C,b64f102a94
CCNCC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)C1,0ed51a7fd6
CN1CCN(Cc2ccc(-c3cc(Cn4cc5nc(-c6cccc(F)c6F)nc-5cn4)on3)cc2)CC1,cd4d50b272
CCOC(=O)c1csc(I)n1,00571a715c
CC(C)(C)C(=O)ON[C@H]1CSc2c(cccc2-c2ccccc2)NC1=O,43b2b3a6c1
O=[N+]([O-])c1ccc2c(c1)c(-c1cn[nH]c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,1a3f1bb389
CCCCCc1ccc(-c2cc3cn([C@H]4C[C@H](OC(=O)OCc5ccccc5)[C@@H](CO)O4)c(=O)nc3o2)cc1,57342a8a92
CN(C)c1ccc(-c2cnc3ccc(O)cc3n2)cc1,a6b25b993f
Cc1c(C(=O)O)sc2cc(C(F)(F)F)ccc12,01b09440ab
COc1ccc([C@@H](O)[C@H](NC(=O)[C@@H](N)CO)C(=O)OCc2ccccc2)cc1,1f359f8439
CCCOc1ccc(C)cc1-c1nc(N)c(N)c(=O)[nH]1,1d666ae449
CCCc1nc2c(cc1C(=O)O)C(=O)N(C1CCN(Cc3cc(C4CC4)c(-c4ccc(F)cc4F)c(F)c3OC)CC1)CC2,c1f7db63d8
Cc1ccc(-n2ccc(NC(=O)c3cc(Cl)ccc3[N+](=O)[O-])n2)cc1C,0ff5cc78cd
COc1cc2c(cc1[N+](=O)[O-])CCN(C(CF)CF)CC2,b3aa1db6d2
CCOC(=O)c1cn2c3c(cc(C#CCNC(=O)OC(C)(C)C)cc3c1=O)CCC2,7c19997f03
CC(C)c1c(C(=O)NCc2ccc(F)c(F)c2)c2ccc(OCc3ccccc3)cc2n1Cc1ccccc1,852c4a678f
O=C(O)CNC(=O)c1cccs1,f919bc6e0d
O=C(Nc1nnn[nH]1)c1cccc([N+](=O)[O-])c1O,7b0b6e7461
CC(C)c1ccc(N(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)C(=O)C2CCCc3c(OCc4ccccc4)cccc32)cc1,5f3526d77e
NCCc1ccc(Oc2ncccc2C(N)=O)cc1,6ab584d0de
CC(=O)N(N=Nc1cc(C(F)(F)F)ccc1C#N)c1cc(C(F)(F)F)ccc1C#N,0f837089c7
CCc1nc2c(C)cc(CC(C)O)nc2n1[C@H]1CCc2cc(-c3ccccc3-c3nnnn3C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc21,ee94d4e065
C=CCNc1nc(OCc2ccc(F)cc2F)c(Cl)c(=O)n1-c1cc(C(=O)O)ccc1C,d607385954
O=C(O)c1ccc2c(c1)C[C@H]1[C@@H]2CCCN1C(=O)c1ccc2[nH]cnc2c1,53b98de342
O=Cc1cc(F)c(OCc2ccccc2)c(F)c1,48f4900fe3
CC(=O)Oc1ccc(-c2ccccc2)cc1,b8b33f4a50
