SMILES,ID,cut_bond
COC(=O)[C@H](CCCCN)NC(=O)Nc1cc(OC)cc(C(C)(C)C)c1O,9bb350de65,[]
O=C(Nc1cccc2cnccc12)c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1,7e88ac13b7,"[(1, 2)]"
CCN(CC)Cc1ccc(-c2nc(C)c(COc3ccc([C@H](CC(=O)N4C(=O)OC[C@@H]4Cc4ccccc4)c4ccon4)cc3)s2)cc1,fbdc06244b,"[(2, 5)]"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(C(CF)CF)C5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,e6670c48cd,"[(29, 30)]"
CCOc1ccc(Oc2ncnc3c2cnn3C2CCN(C(=O)OC3CCCC3)CC2)c(F)c1,0ff24b6a35,"[(20, 21)]"
Cn1cnc(-c2cc(C#N)ccn2)c1-c1ccc(-n2cccn2)cc1,cf3700fe3d,"[(13, 14)]"
N#Cc1ccc(OC2CCCCO2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)c1,f0110577b0,"[(13, 14)]"
COc1ccc(C(O)Cc2c(Cl)c[n+]([O-])cc2Cl)c2c1OC1(CCCC1)O2,e9c81f2783,[]
CC(C)(C)OC(=O)NNC(=O)c1ccc(Br)cc1Cl,5af0bb2131,"[(8, 9)]"
CCOP(=O)(COCc1nc2c(N)ncnc2n1CCc1ccccc1)OCC,c318fb876e,"[(6, 7)]"
O=C(O)CONC(=O)NCc1cccc2ccccc12,4f91ce6f74,[]
CCOC(=O)c1nn[nH]c1C(=O)c1ccc(OC)c(OC)c1,32db7fefe0,[]
COC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(C)C,deee579b9c,"[(5, 6)]"
c1ccc(CN2CCC(NCc3c[nH]cn3)CC2)cc1,c56cf7e0c3,"[(9, 10)]"
Oc1ccc(OCc2ccccc2)c(Br)c1,5bec3251a0,"[(5, 6)]"
CC(C)n1nc(-c2ccc(O)cc2)c2cccc(Cl)c21,932dba6a65,[]
